label,value
CL 121,3
CL 122,3
CL 123,3
CL 134,3
CL 143,3
CL 150,3
CL 151,3
CL 154,3
CL 200,3
CL 250,3
CL 270,3
CL 299,6
CL 300,3
CL 350,12
CL 400,4
CoE 113,3
CoE 115,2
CoE 134,4
CoE 151,3
CoE 161,3
CoE 163,1
CoE 164,3
CoE 197,5
CoE 198,3
Comm 100,3
Comm 110,3
Comm 120,3
Comm 130,3
Comm 140,3
Comm 201,3
Comm 210,3
Comm 211,3
Comm 224,3
Comm 230,3
Comm 233,3
Comm 250,3
Comm 285,3
Comm 299,6
Comm 300,3
Comm 301,3
Comm 307,3
Comm 397,3
CRes 101,3
CRes 130,3
CRes 135,3
CRes 155,3
CRes 175,3
CRes 197,3
CRes 200,3
CS 11,3
CS 12,3
CS 20,4
CS 21,3
CS 30,3
CS 31,4
CS 32,4
CS 33,3
CS 133,3
CS 135,3
CS 136,3
CS 138,4
CS 145,3
CS 150,3
CS 153,4
CS 165,3
CS 176,3
CS 180,3
CS 192,1
CS 194,1
CS 196,3
CS 199,3
CS 204,3
CS 210,3
CS 225,3
CS 239,3
CS 250,3
CS 253,3
CS 258,3
CS 266,3
CS 270,3
CS 282,3
CS 290,3
CS 295,1
CS 296,3
CS 297,3
CS 298,6
CS 300,3
CS 318,3
CS 397,6
CS 400,3
CT 15,0
CT 27,0
CT 109,0
CT 114,0
CT 117.1,3
CT 124,6
CT 171.1,3
CT 171.2,3
CT 197,3
CT 200,3
CTRA 13,3
CTRA 19,3
CTRA 21,2
CTRA 224,3
CW 10,3
CW 100,3
CW 111,3
CW 121,3
CW 141,3
CW 151,3
CW 180,3
CW 199,3
CW 200,3
CW 202,3
CW 211,3
CW 212,3
CW 220,3
CW 241,3
CW 300,3
CW 302,3
CW 310,3
CWTS 2,3
D 17,3
D 18,3
D 19,3
D 21,3
D 23,3
D 27,3
D 151,3
D 161,3
D 171,3
D 196,3
D 200,3
DBE 302,3
DBE 303,4
DBE 311,3
DBE 397,3
DE 251,3
DE 253,3
DE 291,3
DE 292,3
Demo 1,4
Demo 212,4
Demo 225,4
Demo 226,3
Demo 230,3
Demo 240,3
Demo 297.2,3
Demo 298,3
Demo 299,6
Demo 300,3
DRMAPS THU1,3
DRMAPS THU2,3
DRMAPS THU3,3
DRMAPS THU4,3
DRMAPS THU5,3
DRMAPS THU6,3
ECE 113,3
ECE 117,3
ECE 151,3
ECE 161,3
ECE 163,1
ECE 164,3
ECE 197,5
ECE 198,0
Econ 11,0
Econ 100.1,0
Econ 100.2,4
Econ 101,4
Econ 102,3
Econ 103,3
Econ 104,3
Econ 106,3
Econ 121,3
Econ 122,4
Econ 131,3
Econ 132,3
Econ 138,3
Econ 141,3
Econ 151,3
Econ 153,3
Econ 163,3
Econ 181,3
Econ 190.1,3
Econ 190.2,3
Econ 191,3
Econ 198,3
Econ 199,3
Econ 203,3
Econ 204,3
Econ 209,3
Econ 222,3
Econ 232,3
Econ 233,3
Econ 251,3
Econ 271,3
Econ 295,3
Econ 300,3
Econ 301,12
Econ 400,3
EDAD 102,3
EDAD 206,3
EDAD 208,3
EDAD 210,3
EDAD 211,3
EDAD 221,3
EDAD 222,3
EDAD 279,3
EDAD 302,3
EDAD 331,3
EDAD 341,3
EDART 106,3
EDART 165,3
EDART 235,3
EDART 275,3
EDCO 101,3
EDCO 104,3
EDCO 201,3
EDCO 202,3
EDCO 232,3
EDCO 241,3
EDCO 301,3
EDCO 302,3
EDCS 101,3
EDCS 211,3
EDCS 215,3
EDCS 223,3
EDCS 301,3
EDCS 308,3
EDFD 100,3
EDFD 116,3
EDFD 120,3
EDFD 144,3
